iter	MultiClass
0	1.042461743
1	0.9981468827
2	0.9618707138
3	0.9316659823
4	0.9061596907
5	0.8840760946
6	0.8663266504
7	0.8496273668
8	0.8343618817
9	0.8221199603
10	0.8110880026
11	0.8017444646
12	0.7922285529
13	0.7848942407
14	0.7776308699
15	0.7712850152
16	0.7653493532
17	0.7614022454
18	0.7575389093
19	0.7544916432
20	0.7506301833
21	0.7475244003
22	0.7450946363
23	0.7433082044
24	0.7404562642
25	0.7388747804
26	0.7365651017
27	0.7348970738
28	0.7333984684
29	0.7324067847
30	0.7310762537
31	0.7295618267
32	0.7282338914
33	0.7269109139
34	0.725800278
35	0.723896043
36	0.7227506931
37	0.7212145217
38	0.718899439
39	0.7175149291
40	0.7157503956
41	0.7150901886
42	0.7139211935
43	0.7129127901
44	0.7120700137
45	0.7116361069
46	0.7110631122
47	0.709509139
48	0.7089637383
49	0.7078667969
50	0.7071194967
51	0.7060822186
52	0.7054305116
53	0.704896326
54	0.7043062098
55	0.7030759273
56	0.7027903123
57	0.7019069841
58	0.7015067328
59	0.7006489537
60	0.7000207923
61	0.6994017737
62	0.6988844977
63	0.6984893827
64	0.6980599677
65	0.6973758091
66	0.6967597106
67	0.6964795859
68	0.6959929242
69	0.6955022438
70	0.6951961065
71	0.6949021297
72	0.6946103736
73	0.6942883484
74	0.6934762184
75	0.6931177024
76	0.6928506425
77	0.6925714974
78	0.6922811086
79	0.6919846346
80	0.6915914386
81	0.691349151
82	0.6909916105
83	0.6905829359
84	0.6901696854
85	0.6899275414
86	0.6890654022
87	0.6888401359
88	0.6884749069
89	0.688032617
90	0.6878172416
91	0.6872193023
92	0.6867350366
93	0.6863857692
94	0.6862251678
95	0.6858493814
96	0.6853358724
97	0.6851778996
98	0.6849297234
99	0.6845422977
100	0.6842856273
101	0.6841086025
102	0.6834952881
103	0.6832624468
104	0.6830260939
105	0.6828054564
106	0.682439855
107	0.6817829786
108	0.6814463962
109	0.6811451008
110	0.6808478382
111	0.6806220323
112	0.680482732
113	0.6802020953
114	0.6798966076
