iter	Passed	Remaining
0	166	166373
1	298	148969
2	432	143796
3	566	141132
4	699	139101
5	826	136945
6	971	137858
7	1095	135865
8	1230	135439
9	1361	134749
10	1481	133195
11	1612	132754
12	1743	132404
13	1859	130975
14	2001	131432
15	2114	130063
16	2244	129787
17	2366	129120
18	2498	129009
19	2616	128193
20	2743	127916
21	2882	128130
22	3010	127892
23	3125	127102
24	3248	126697
25	3378	126580
26	3493	125886
27	3627	125925
28	3759	125889
29	3876	125355
30	3997	124963
31	4122	124713
32	4242	124309
33	4372	124228
34	4489	123790
35	4618	123680
36	4734	123214
37	4857	122966
38	4989	122950
39	5127	123056
40	5271	123310
41	5390	122944
42	5510	122639
43	5650	122761
44	5774	122548
45	5912	122618
46	6029	122248
47	6162	122227
48	6304	122357
49	6428	122144
50	6542	121743
51	6686	121891
52	6815	121779
53	6960	121929
54	7084	121725
55	7211	121568
56	7333	121327
57	7458	121129
58	7591	121077
59	7715	120882
60	7843	120740
61	7980	120736
62	8105	120550
63	8228	120343
64	8339	119962
65	8472	119900
66	8594	119683
67	8712	119412
68	8840	119276
69	8978	119288
70	9087	118908
71	9210	118707
72	9327	118442
73	9446	118209
74	9591	118298
75	9715	118115
76	9831	117845
77	9959	117727
78	10095	117691
79	10216	117494
80	10342	117343
81	10458	117085
82	10581	116911
83	10702	116708
84	10830	116582
85	10934	116209
86	11080	116276
87	11200	116082
88	11321	115884
89	11453	115810
90	11569	115568
91	11701	115491
92	11848	115555
93	11975	115422
94	12100	115271
95	12225	115118
96	12342	114897
97	12460	114687
98	12575	114445
99	12691	114220
100	12821	114121
101	12938	113910
102	13081	113926
103	13198	113706
104	13312	113469
105	13446	113410
106	13577	113315
107	13726	113374
108	13853	113246
109	13973	113060
110	14104	112963
111	14236	112876
112	14354	112672
113	14485	112576
114	14618	112496
115	14753	112428
116	14904	112482
117	15026	112313
118	15148	112146
119	15279	112048
120	15396	111844
121	15525	111734
122	15672	111749
123	15802	111637
124	15931	111519
125	16052	111351
126	16173	111178
127	16316	111158
128	16440	111008
129	16588	111017
130	16719	110910
131	16851	110809
132	16992	110770
133	17109	110571
134	17230	110405
135	17351	110230
136	17486	110154
137	17612	110011
138	17732	109837
139	17870	109775
140	17990	109602
141	18119	109482
142	18244	109338
143	18371	109209
144	18490	109031
145	18616	108895
146	18742	108760
147	18867	108614
148	19009	108568
149	19126	108385
150	19263	108310
151	19382	108131
152	19507	107993
153	19648	107936
154	19768	107770
155	19900	107666
156	20020	107499
157	20150	107386
158	20284	107288
159	20404	107121
160	20522	106944
161	20646	106800
162	20770	106655
163	20892	106501
164	21016	106354
165	21137	106195
166	21256	106026
167	21378	105875
168	21507	105754
169	21625	105583
170	21753	105460
171	21882	105342
172	22016	105245
173	22140	105101
174	22263	104956
175	22398	104863
176	22523	104729
177	22638	104543
178	22777	104470
179	22904	104344
180	23023	104179
181	23150	104052
182	23278	103925
183	23401	103780
184	23521	103620
185	23636	103440
186	23754	103276
187	23896	103212
188	24034	103133
189	24143	102928
190	24265	102780
191	24388	102636
192	24512	102494
193	24634	102346
194	24767	102247
195	24897	102131
196	25019	101983
197	25143	101843
198	25263	101687
199	25398	101594
200	25517	101433
201	25637	101279
202	25771	101181
203	25896	101046
204	26013	100881
205	26145	100773
206	26265	100619
207	26396	100508
208	26518	100363
209	26650	100255
210	26772	100110
211	26914	100039
212	27034	99886
213	27155	99738
214	27271	99573
215	27411	99494
216	27528	99331
217	27661	99227
218	27783	99082
219	27908	98947
220	28027	98795
221	28156	98674
222	28297	98596
223	28417	98445
224	28541	98309
225	28667	98179
226	28782	98012
227	28916	97911
228	29046	97795
229	29188	97716
230	29309	97570
231	29429	97422
232	29550	97276
233	29674	97139
234	29799	97007
235	29930	96892
236	30039	96710
237	30159	96561
238	30280	96416
239	30394	96250
240	30499	96054
241	30628	95934
242	30757	95816
243	30891	95713
244	31014	95576
245	31145	95462
246	31282	95365
247	31400	95215
248	31529	95096
249	31657	94972
250	31785	94851
251	31913	94726
252	32035	94588
253	32163	94464
254	32293	94347
255	32417	94213
256	32552	94111
257	32675	93973
258	32796	93831
259	32918	93690
260	33050	93579
261	33160	93405
262	33289	93285
263	33428	93195
264	33536	93017
265	33653	92863
266	33780	92738
267	33910	92621
268	34047	92523
269	34192	92447
270	34316	92311
271	34441	92181
272	34565	92049
273	34686	91906
274	34831	91828
275	34954	91692
276	35075	91550
277	35208	91439
278	35340	91328
279	35457	91175
280	35591	91069
281	35721	90950
282	35846	90819
283	35968	90682
284	36110	90592
285	36240	90473
286	36368	90350
287	36477	90181
288	36601	90046
289	36720	89901
290	36857	89800
291	36976	89656
292	37100	89521
293	37219	89378
294	37342	89242
295	37480	89142
296	37597	88993
297	37712	88839
298	37840	88717
299	37963	88581
300	38082	88438
301	38208	88310
302	38350	88218
303	38492	88127
304	38622	88009
305	38751	87887
306	38897	87805
307	39025	87681
308	39155	87562
309	39284	87438
310	39412	87314
311	39532	87173
312	39677	87088
313	39806	86966
314	39927	86827
315	40050	86690
316	40181	86574
317	40302	86435
318	40426	86303
319	40556	86183
320	40681	86052
321	40830	85971
322	40963	85858
323	41092	85737
324	41221	85612
325	41340	85470
326	41490	85390
327	41612	85255
328	41734	85119
329	41857	84983
330	41972	84832
331	42091	84689
332	42225	84577
333	42359	84465
334	42487	84341
335	42610	84205
336	42737	84080
337	42857	83939
338	42976	83798
339	43123	83711
340	43246	83575
341	43374	83452
342	43495	83313
343	43616	83176
344	43751	83063
345	43861	82904
346	43984	82772
347	44107	82638
348	44224	82493
349	44342	82350
350	44463	82212
351	44589	82084
352	44716	81959
353	44858	81860
354	44989	81740
355	45096	81578
356	45242	81486
357	45377	81374
358	45495	81233
359	45614	81092
360	45736	80956
361	45873	80849
362	45988	80701
363	46116	80577
364	46242	80449
365	46367	80319
366	46506	80214
367	46618	80061
368	46737	79922
369	46877	79818
370	47001	79687
371	47119	79545
372	47250	79426
373	47380	79304
374	47505	79176
375	47628	79043
376	47761	78927
377	47876	78780
378	47996	78642
379	48109	78493
380	48241	78376
381	48378	78267
382	48502	78135
383	48626	78005
384	48755	77882
385	48881	77753
386	49003	77620
387	49123	77483
388	49250	77357
389	49386	77246
390	49511	77115
391	49631	76978
392	49746	76835
393	49878	76716
394	50017	76609
395	50139	76476
396	50261	76342
397	50382	76206
398	50504	76073
399	50619	75929
400	50744	75800
401	50857	75653
402	50981	75523
403	51105	75393
404	51221	75251
405	51342	75117
406	51456	74972
407	51576	74835
408	51712	74723
409	51841	74600
410	51967	74474
411	52086	74336
412	52208	74204
413	52341	74087
414	52465	73957
415	52597	73839
416	52717	73702
417	52837	73568
418	52961	73437
419	53092	73318
420	53220	73194
421	53337	73054
422	53459	72922
423	53599	72813
424	53728	72691
425	53856	72567
426	53970	72424
427	54100	72303
428	54211	72155
429	54328	72017
430	54452	71888
431	54575	71756
432	54710	71641
433	54849	71532
434	54975	71404
435	55076	71245
436	55201	71117
437	55327	70990
438	55453	70864
439	55573	70730
440	55694	70596
441	55821	70471
442	55936	70330
443	56059	70200
444	56213	70108
445	56345	69989
446	56463	69852
447	56593	69731
448	56721	69607
449	56831	69461
450	56954	69330
451	57077	69200
452	57213	69085
453	57334	68952
454	57456	68821
455	57579	68691
456	57704	68563
457	57838	68445
458	57930	68279
459	58052	68148
460	58187	68032
461	58306	67897
462	58427	67765
463	58558	67645
464	58675	67508
465	58796	67376
466	58912	67238
467	59039	67112
468	59157	66977
469	59273	66840
470	59394	66708
471	59517	66579
472	59642	66451
473	59774	66332
474	59897	66202
475	60019	66071
476	60140	65939
477	60269	65816
478	60403	65699
479	60527	65571
480	60661	65453
481	60798	65339
482	60927	65216
483	61047	65084
484	61187	64972
485	61307	64839
486	61424	64703
487	61552	64579
488	61678	64453
489	61810	64333
490	61939	64209
491	62056	64074
492	62171	63937
493	62297	63810
494	62429	63690
495	62556	63565
496	62694	63451
497	62815	63319
498	62939	63191
499	63062	63062
500	63186	62933
501	63302	62798
502	63418	62662
503	63530	62522
504	63658	62398
505	63784	62271
506	63916	62151
507	64043	62025
508	64173	61904
509	64301	61780
510	64422	61649
511	64555	61529
512	64689	61410
513	64822	61290
514	64951	61167
515	65063	61028
