iter	MultiClass
0	1.024877176
1	0.9679059093
2	0.9212900093
3	0.8824866991
4	0.850561432555	0.823691872966	0.800777559177	0.781276571588	0.763621910399	0.7484584012110	0.7355759524111	0.7244120585112	0.7150242981313	0.7065873391414	0.6988304601515	0.6910294316	16	0.6825950417	17	0.6752028218	18	0.6684439719	19	0.6630523720	20	0.6575713921	21	0.6530124838
22	0.6494571325
23	0.6459559911
24	0.6428699917
25	0.6399437124
26	0.6371698009
27	0.6350846351
28	0.6329478435
29	0.631028737
30	0.6293349321
31	0.6274970602
32	0.6259603129
33	0.6240130711
34	0.6226873317
35	0.6210728304
36	0.6197902353
37	0.6183891315
38	0.617235798
39	0.6162682925
40	0.6153100122
41	0.6143395028
42	0.6134674628
43	0.6125136667
44	0.6115944329
45	0.6107689282
46	0.6099088678
47	0.609126983
48	0.6085110513
49	0.6078793043
50	0.6074739278
51	0.6068772024
52	0.6065555277
53	0.6060176511
54	0.6057137293
55	0.6053886855
56	0.6048332392
57	0.6044152908
58	0.6040793398
59	0.6035489873
60	0.6030578883
61	0.602562009
62	0.6022599633
63	0.6019392986
64	0.6014448002
65	0.6010362387
66	0.6009473554
67	0.6006866093
68	0.6002729486
69	0.6000095901
70	0.5997680045
71	0.5994212431
72	0.5991095966
73	0.5987321244
74	0.5984884789
75	0.5982206849
76	0.5980432777
77	0.5978928671
78	0.5976800515
79	0.5974058515
80	0.5972176235
81	0.5970740116
82	0.5969008695
83	0.5966252349
84	0.5962959114
85	0.5960611654
86	0.5957775063
87	0.5954787365
88	0.5952583583
89	0.5950372001
90	0.5948746567
91	0.5947350833
92	0.5944790904
93	0.5942809513
94	0.5940885395
95	0.5939395393
96	0.593767169
97	0.5935469981
98	0.5934067443
99	0.5932934287
100	0.5931567754
101	0.5930769017
102	0.5929480914
103	0.5928267759
104	0.5926906597
105	0.5925572003
106	0.592392753
107	0.5922002483
108	0.5920896989
109	0.591871332
110	0.5917204514
111	0.5915765253
112	0.5914861627
113	0.5913821535
114	0.5912779546
115	0.591159781
116	0.5909864382
117	0.5908452297
118	0.5906388827
119	0.5904651487
120	0.5903364031
121	0.5902212244
122	0.5900425228
123	0.5899541988
124	0.5898863195
125	0.5897232908
126	0.5894627513
127	0.5893450147
128	0.589123874
129	0.5889891758
