iter	Passed	Remaining
0	14942	14928051
1	29413	14677209
2	42501	14124636
3	59075	14709691
4	74056	14737146
5	89217	14780325
6	103462	1467689377	118135	1464884188	134963	1486094899	152871	15134280110	168117	15115306111	183914	15142334112	199727	15163924113	215529	15179412114	230550	15139509115	246622	15167280116	261630	15128423117	277739	15152252118	292298	15091825119	305408	14965038220	319854	14911320221	336496	14958817
22	352600	14977847
23	369112	15010579
24	385292	15026396
25	400703	15010978
26	417483	15044874
27	431851	14991414
28	449594	15053661
29	466258	15075676
30	486961	15221468
31	503271	15223965
32	521297	15275608
33	535836	15224050
34	551109	15194885
35	569236	15242888
36	584659	15216952
37	600022	15190050
38	617170	15207715
39	633714	15209146
40	652577	15263939
41	670751	15299524
42	686192	15271776
43	703766	15290937
44	721434	15310448
45	734910	15241400
46	751039	15228524
47	767554	15223162
48	783850	15213096
49	800549	15210443
50	815343	15171787
51	832842	15183360
52	850000	15187746
53	868001	15206108
54	887449	15248000
55	903760	15234816
56	920361	15226336
57	931083	15122083
58	940680	15003057
59	949240	14871436
60	957725	14742690
61	965345	14604749
62	975035	14501725
63	984592	14399660
64	992980	14283647
65	1001232	14168957
66	1004681	13990559
67	1014043	13898364
68	1022491	13796222
69	1031579	13705276
70	1040882	13619429
71	1050581	13540825
72	1058734	13444474
73	1067946	13363764
74	1077697	13291598
75	1085506	13197477
76	1094853	13124024
77	1104873	13060170
78	1115227	13001575
79	1122709	12911158
80	1129863	12819065
81	1138278	12743162
82	1145823	12659279
83	1155390	12599253
84	1165411	12545316
85	1173750	12474509
86	1182271	12407052
87	1192722	12360946
88	1201053	12293930
89	1210262	12237096
90	1220592	12192514
91	1229759	12137189
92	1239149	12085039
93	1248297	12031459
94	1258696	11990736
95	1266820	11929222
96	1273491	11855290
97	1283244	11811082
98	1294300	11779438
99	1304595	11741361
100	1314218	11697847
101	1322777	11645626
102	1333209	11610574
103	1339930	11544015
104	1349632	11504014
105	1359355	11464756
106	1365844	11399061
107	1374016	11348360
108	1383362	11308038
109	1394251	11280764
110	1401715	11226355
111	1410369	11182211
112	1417816	11129231
113	1427607	11095261
114	1438167	11067634
115	1446352	11022201
116	1456895	10995200
117	1467944	10972262
118	1475707	10925195
119	1483485	10878895
120	1492593	10842891
